"","metadata.my_sims","metadata.target_market_size","metadata.r","metadata.s","metadata.u","metadata.nm","metadata.rationality","metadata.visit_change","metadata.mean_daily_visitors","metadata.playground","metadata.tutoring","metadata.coworking","metadata.cafe","metadata.party","metadata.workshop","metadata.camp","metadata.merchandise","metadata.r.membership_cost","metadata.r.playground_credits","metadata.r.tutoring_credits","metadata.r.cowowrking_credits","metadata.r.cafe_credits","metadata.r.party_credits","metadata.r.workshop_credits","metadata.r.camp_credits","metadata.r.merchandise_credits","metadata.s.membership_cost","metadata.s.playground_credits","metadata.s.tutoring_credits","metadata.s.cowowrking_credits","metadata.s.cafe_credits","metadata.s.party_credits","metadata.s.workshop_credits","metadata.s.camp_credits","metadata.s.merchandise_credits","metadata.u.membership_cost","metadata.u.playground_credits","metadata.u.tutoring_credits","metadata.u.cowowrking_credits","metadata.u.cafe_credits","metadata.u.party_credits","metadata.u.workshop_credits","metadata.u.camp_credits","metadata.u.merchandise_credits","dxsxbar.y","dxsxbar.visit_prob","dxsxbar.visits","dxsxbar.playground_lambda","dxsxbar.tutoring_lambda","dxsxbar.coworking_lambda","dxsxbar.cafe_lambda","dxsxbar.party_lambda","dxsxbar.workshop_lambda","dxsxbar.camp_lambda","dxsxbar.merchandise_lambda","dxsxbar.spent","dxsxbar.playground_credits","dxsxbar.tutoring_credits","dxsxbar.coworking_credits","dxsxbar.cafe_credits","dxsxbar.party_credits","dxsxbar.workshop_credits","dxsxbar.camp_credits","dxsxbar.merchandise_credits","dxsxbar.savings","dxsxbar.r","dxsxbar.s","dxsxbar.u","dxsxbar.nm","dxssd.y","dxssd.visit_prob","dxssd.visits","dxssd.playground_lambda","dxssd.tutoring_lambda","dxssd.coworking_lambda","dxssd.cafe_lambda","dxssd.party_lambda","dxssd.workshop_lambda","dxssd.camp_lambda","dxssd.merchandise_lambda","dxssd.spent","dxssd.playground_credits","dxssd.tutoring_credits","dxssd.coworking_credits","dxssd.cafe_credits","dxssd.party_credits","dxssd.workshop_credits","dxssd.camp_credits","dxssd.merchandise_credits","dxssd.savings","dxssd.r","dxssd.s","dxssd.u","dxssd.nm","dxsk.y","dxsk.visit_prob","dxsk.visits","dxsk.playground_lambda","dxsk.tutoring_lambda","dxsk.coworking_lambda","dxsk.cafe_lambda","dxsk.party_lambda","dxsk.workshop_lambda","dxsk.camp_lambda","dxsk.merchandise_lambda","dxsk.spent","dxsk.playground_credits","dxsk.tutoring_credits","dxsk.coworking_credits","dxsk.cafe_credits","dxsk.party_credits","dxsk.workshop_credits","dxsk.camp_credits","dxsk.merchandise_credits","dxsk.savings","dxsk.r","dxsk.s","dxsk.u","dxsk.nm","dxssk.y","dxssk.visit_prob","dxssk.visits","dxssk.playground_lambda","dxssk.tutoring_lambda","dxssk.coworking_lambda","dxssk.cafe_lambda","dxssk.party_lambda","dxssk.workshop_lambda","dxssk.camp_lambda","dxssk.merchandise_lambda","dxssk.spent","dxssk.playground_credits","dxssk.tutoring_credits","dxssk.coworking_credits","dxssk.cafe_credits","dxssk.party_credits","dxssk.workshop_credits","dxssk.camp_credits","dxssk.merchandise_credits","dxssk.savings","dxssk.r","dxssk.s","dxssk.u","dxssk.nm","custyp.PWT","custyp.SAHP","custyp.WFHP","memtyp.nm","memtyp.r","memtyp.s","memtyp.u","vis.0","vis.1","vis.2","vis.3","vis.4","vis.5","vis.6","vis.7","vis.8","vis.9","vis.10","vis.11","vis.12","vis.13"
"1",1,20875,1,0.4,0.7,-0.3,1.1,1.011,19,9.44444444444444,45.4545454545455,5,4.72727272727273,112.121212121212,7.72727272727273,476.010101010101,31.6868686868687,32929,2389,6,2399,700,2,7,4,4,3859,171,2,38,42,0,0,1,1,1436,19,95,28,16,1,1,0,1,1,0.502237545233197,0.327185628742515,5.01531724429928,1.00082114558761,5.03202564567834,1.00124502510131,0.00137230826847757,0.0013693758187237,0.00136793345645778,0.00137050001284272,4012.48951309502,275.920282102462,3.53893086554164,279.305628742515,82.9128796951551,0.293461077844311,0.878706586826347,0.490491017964072,0.549700598802395,32.7169288090486,0.41933918516005,0.0775120164868149,0.216312240744535,0.2868365576086,1,0.287356097168688,0.598348232426324,2.92573563841895,0.582531900550292,2.90865702402011,0.581948702014394,0.000799596334371622,0.000797660009472658,0.00079871370326682,0.000799472159002605,10537.074792587,748.431096996826,15.8651432437342,763.984754928137,222.987747013292,0.664252266782533,2.2409996396201,1.2859911481298,1.28461808900735,64.658595027426,0.216377329903113,0.0358773348091603,0.0578250705525708,0.23932014554982,1,1.81503419893643,7.078902213908,1.78704636942667,1.79673918990629,1.8046351977381,1.80111396261884,1.7944994632039,1.80363469299895,1.80143200930436,1.80407819023894,6.62252586081775,6.67012891603798,28.1884882407648,6.67253350043283,6.66300233473184,5.20232349185195,6.53491479976118,6.50801432123395,6.11135164584357,9.94226482029003,1.89923827570813,3.70191275483172,2.7197691937043,2.48443445122962,1,-0.00933290282677216,1.94535344012294,-0.00242539830817805,-0.00362514188949771,-0.018771108362807,0.00482320274751403,0.00207394470400207,0.00565887228357389,-0.00644736549472345,0.00413538769481599,2.36467623748856,2.37923823584115,5.08469377366736,2.38130736426149,2.37791164024278,1.98356082168083,2.33543716429308,2.33129072423086,2.20548565583029,2.29832995238426,-0.0122207222453931,0.96772166234739,-0.245043592364182,0.777678609267306,6946,7048,6881,16872,2359,454,1190,15290,4512,922,131,19,1,0,0,0,0,0,0,0,0
"2",2,18146,0.5,0.8,0.3,-0.4,0.9,1.008,61,23.989898989899,29.0909090909091,11.6666666666667,8,463.636363636364,30,53.7878787878788,41.5858585858586,16313,2384,23,2485,364,2,9,5,3,8177,98,11,6,62,0,1,1,1,446,12,73,33,8,0,0,4,0,2,0.510981936189687,1.14063705499835,5.00448104989051,0.992099992540861,5.04748799579616,1.00529487534888,0.00137906683777392,0.00136427514105375,0.00138139105117752,0.00137310989712138,1561.1886939493,119.725899466393,19.5638056972235,125.195414967486,23.6069657224733,0.101069106139094,0.535655240824424,1.96384878210074,0.231841728204563,137.729272778485,0.0722205475045692,0.119644409940097,0.600085651306126,0.208049391249207,2,0.289252928997817,1.21311593624304,2.91204099093127,0.582754449543764,2.92243374640481,0.58495020007869,0.000799870004851714,0.000798701755063553,0.000793766046006382,0.000797814792071311,4033.16370986134,506.138164573346,28.108548787133,532.633093743057,77.8521894313692,0.43810252825098,1.97266286800524,2.00270256644283,0.693537536985333,134.924765405268,0.0628019070463268,0.0461102100417372,0.142445824503389,0.0403968975082408,2,1.79050761572938,4.89033578118182,1.80984662198026,1.8028331086912,1.78777156014374,1.79514011549124,1.80045521038545,1.79742757733495,1.80743996109545,1.8030738754118,9.56869715842708,17.8758072458753,2.44127408400571,17.8418985843446,16.6521748377618,17.8416647820529,17.1552648442938,1.13387423048102,12.9447353117747,2.64140195324136,3.91080503801034,2.2214882322376,2.28606172104382,2.22352763545272,2,-0.0439649468050439,1.26853709768516,0.00656263470977691,0.016075585022629,-0.0138284686721767,0.00372601310565824,-0.0290282185139067,0.0035688284346172,-0.0152912789486885,0.000529408493234151,2.75979680908087,4.10345111194639,1.05328651965405,4.10222422083239,3.88684136459115,4.10352050995412,3.98017909632251,0.160634930536473,3.28657750485916,0.625101049777704,1.22035037685007,0.275190455043377,-0.361836701290369,-0.548412572110318,6151,6059,5936,9091,850,1345,6860,6670,5928,3191,1467,585,220,56,21,8,0,0,0,0,0
"3",3,18388,0.7,0.3,1,-0.2,1,1.022,10,17.3232323232323,20.4545454545455,9.44444444444444,7.27272727272727,366.666666666667,41.8181818181818,308.080808080808,33.6666666666667,23384,2202,0,2455,473,1,5,2,4,2227,356,7,1,4,0,0,0,1,1411,19,67,20,48,1,0,2,1,3,0.500993154592154,0.196051772895367,5.00411445321169,1.00104921303529,4.99488027984874,1.00060535746853,0.00137593419692227,0.00136904128190882,0.00137586045176165,0.00136369400526191,2539.70105064128,225.208347341151,2.17230110546404,252.614458704953,50.6771708821959,0.149336523819883,0.52343919947792,0.298564281052861,0.477104633456602,27.6634360793051,0.612417893229602,0.0788309275281264,0.244066191171553,0.0646849880707186,3,0.288257501784654,0.454860408149406,2.90516582166665,0.580951234216847,2.9183747556457,0.581613800896813,0.000793740729459237,0.000797764374736076,0.000798882479036238,0.00079723505749643,7140.15035554924,645.921262002652,10.8297299798018,737.242504788655,142.331524794435,0.356429565885843,1.53079549258083,0.712752102588532,1.22738111723914,68.5360769596856,0.149088373884617,0.0417680249410049,0.0732577992732457,0.0551587557122821,3,1.80582167854472,9.66655348393527,1.81792368539253,1.80641222686635,1.79777940609844,1.80896075102257,1.81837356195083,1.80268702837097,1.79746349134967,1.80047751700263,7.6056894135391,7.63877765056644,29.063449382522,7.65335615407761,7.60512115889483,4.87183850452863,7.66913666300898,4.87420280398002,7.13071347176784,10.0815333927769,2.23983105014234,2.97119931845627,2.34483762013529,3.60214768614802,3,-0.00999192854163342,2.45419442423486,-0.00742102179804268,-0.00261142520563251,0.00686232061909676,0.00457995895969022,-0.0156070478789234,0.0046170084627677,-0.0129360212751926,0.00713002577590512,2.5651830170186,2.57039717458527,5.18745940832482,2.57869331130548,2.56293082738502,1.96753827126504,2.58225650417073,1.96813890836745,2.43207926402922,2.6530001092886,-0.318852774555681,0.753087680003499,0.11733040130699,1.13783042894339,6080,6128,6180,15410,1915,250,813,15190,2833,327,34,4,0,0,0,0,0,0,0,0,0
"4",4,21094,0.4,0.8,0.3,-0.1,1.5,1.003,29,8.03030303030303,47.2727272727273,14.8989898989899,10,439.393939393939,5.45454545454545,221.717171717172,25.2525252525253,37172,2460,16,2222,300,2,7,7,1,8273,80,10,28,45,1,0,1,1,124,18,69,39,3,1,1,2,0,4,0.499827570541008,0.507964350052148,4.99452187562551,1.0009002512084,5.00333284489917,0.999381316722741,0.00136756318803801,0.00136693214631368,0.00136146924040904,0.00137460435422201,2930.48703925574,120.457103987634,3.84073023780998,102.075923260288,18.7361334976771,0.325827249454821,0.413086013256678,0.644590878922916,0.193941405138902,64.7391378466566,0.11965264645947,0.37195880260723,0.219547518256779,0.288841032676521,4,0.286952670260676,0.767289904423362,2.93620890827766,0.583101024738784,2.93025792233015,0.582747161826679,0.000794312254059128,0.000799599047643525,0.000801846632290002,0.000801479080446947,8123.17989457863,512.641528546531,13.129165728237,455.32323827179,61.407044957322,0.559950240019944,1.48656149314695,1.5376946083788,0.395392903182167,98.6107390398527,0.0643034207653377,0.0961945076561226,0.090556386997723,0.208044018110368,4,1.81556591206301,6.16511399338799,1.78361553259453,1.80014110104614,1.79094280532247,1.80500728140251,1.8174032934785,1.79199293201092,1.78935609946397,1.78576554097949,14.7953198242175,19.3041171538212,21.049669082461,19.3912804088181,17.8248526146582,4.32091741417173,18.0638752340792,13.7290801361974,3.3968011281544,4.48636066015132,2.37473721023104,2.74532262075953,1.93689090012798,2.52534393492071,4,-0.00683500458408748,1.6724363600584,0.00751586040536162,-0.00208588751888396,0.00579367811228969,0.00509914950089475,0.00114727221774407,0.0104851632669243,0.0146001833630808,-0.00582755487084247,3.50554894588989,4.27457452697351,4.28221368402786,4.28602424282848,4.00721965365023,1.51714381959282,4.06136596362738,3.31046713814754,1.54805047397404,1.42732139308788,0.501316336583909,-0.46393826068884,-0.121625108058788,0.724364763849599,7098,6967,7029,15532,931,2938,1693,13201,5685,1710,400,83,12,3,0,0,0,0,0,0,0
"5",5,21079,0.9,0.5,0.3,-0.5,0.5,1.001,14,17.9292929292929,23.1818181818182,21.3636363636364,4.72727272727273,180.808080808081,16.8181818181818,293.686868686869,44.5555555555556,35404,2020,17,2051,709,1,6,4,2,4338,160,12,19,61,0,0,1,0,693,8,91,15,34,1,1,3,1,5,0.501866638197993,0.24023910052659,4.98484537006289,0.996564631082398,5.01408601887752,0.999644914441632,0.00136637537283639,0.00136801908688101,0.00135764740880395,0.00137538429118636,4890.09288434418,261.677696841272,4.06140967529079,265.414540106698,97.8769132570546,0.179989563072252,0.860097727596186,0.686892167560131,0.315764504957541,46.8071693738945,0.650632675452417,0.0569798574718844,0.2008853919955,0.0915020750801986,5,0.287322929900468,0.507624250299418,2.90331297307209,0.583225154050054,2.89982716268075,0.583103683729043,0.000798834706013764,0.000796853682569134,0.000796968042363269,0.000800090478361756,12124.5214975375,655.488975795697,15.405322667725,668.624354663351,240.990594028359,0.384187873965745,2.04995525512071,1.4530885649351,0.698644922629146,103.680894421942,0.260587762693551,0.0552468012346505,0.133639454828464,0.0904918167181957,5,1.81434168806328,8.24809684525468,1.8105200872809,1.79976589455016,1.81180351986332,1.79899466928738,1.79994194098072,1.80437305785632,1.80590389145009,1.79867438831959,5.48022665918608,5.52696188270079,24.3382385542015,5.54484615214866,5.48425627902893,3.77537437505042,5.40331530140968,4.00063922551238,4.66861512002369,7.17995612971758,1.88445023733952,2.72279268678237,2.18898428958351,2.54254286122713,5,-0.00984798199128555,2.22583872437234,0.00136285975274106,0.00675369386077661,-0.00681438394061343,-0.000581829976272122,0.00749737146006298,0.00368187494914862,0.0223658392332187,-0.0101176007154458,2.11429249432314,2.12423105914206,4.61438067316072,2.12813793077411,2.11516038467167,1.66582694109357,2.0841043074136,1.70474952984233,1.87089331202029,2.2313149815143,-0.471988967386066,0.918868007498818,0.494053593763837,0.891465792257291,7008,7054,7017,17095,2848,227,909,16722,3732,546,76,3,0,0,0,0,0,0,0,0,0
"6",6,19006,0.1,0.3,0.4,-0.4,0.9,1.048,60,23.1818181818182,41.8181818181818,16.5151515151515,2.54545454545455,491.919191919192,48.1818181818182,116.161616161616,17.8282828282828,25859,2035,4,2106,409,2,2,7,2,2707,218,10,9,47,0,0,0,1,1015,8,24,18,38,0,0,4,0,6,0.52180732582608,1.06166473745133,5.01078341023621,0.992569066440476,5.00556974565183,0.997704074311462,0.00136766435325362,0.00137250431836568,0.00137754230852445,0.00137866493581127,6417.52387231252,453.07506242048,3.11901504787962,449.933915605598,105.774578362814,0.445753972429759,0.446806271703673,2.25939177101968,0.644112385562454,147.735489165038,0.363619020929452,0.323264458236561,0.290031347390702,0.0230851734432854,6,0.286545963194982,1.16503766290887,2.9174887016306,0.58183617092859,2.91478342660681,0.580502373033873,0.00080113543606459,0.000793968917551714,0.000797020784348787,0.000795333250082073,10448.7806667557,793.125044829275,6.72434189341897,837.725058519001,162.265923839053,0.832374792436792,0.833074555159196,2.93602037755177,0.822172869989982,149.729756544213,0.102491200637047,0.078574950550457,0.171412001823756,0.0271052515629996,6,1.83024262654455,4.87250789223382,1.7999721280282,1.80509369993704,1.80746804218834,1.79837153438071,1.7986881474078,1.81449146710036,1.80716876824087,1.81586004237057,2.73166485686422,2.78195222540287,7.35087245466849,2.78169339260789,2.71789913986142,2.77357754374121,2.76388228295849,1.7500008847124,1.87739914875495,2.47390196695979,2.27076069635052,2.38017830525856,2.54405299681627,10.0176411523666,6,-0.115675201628368,1.27173584201617,-0.00598708513033812,0.0113502561197912,-0.00983399433713733,0.00283356717094851,0.00927172088028431,-0.00982659850327792,-0.0182829651408898,-0.00339161180798837,1.29945084738727,1.32072521028513,2.34463652521305,1.33218053205899,1.28435914888451,1.33165220996936,1.32800748409052,0.701235477901015,0.739264878447466,0.627353010730274,-0.340570668430994,-0.522966678479776,0.638559754382361,2.40472385304004,6419,6239,6348,7778,4212,3729,3287,7508,6129,3154,1430,560,166,39,15,3,2,0,0,0,0
"7",7,23986,0.7,0.1,0.2,-0.5,0.6,1.003,17,19.5454545454545,31.3636363636364,5,9.63636363636364,233.333333333333,24.0909090909091,221.717171717172,41.5858585858586,39293,2409,21,2167,182,2,4,8,3,596,367,10,32,9,1,1,1,0,1584,12,59,35,1,1,0,3,0,7,0.498550609241535,0.253939798215626,4.97619402563954,1.00540466787444,5.00715063585071,0.995310395710629,0.0013795695660345,0.00136417499479742,0.00136926767541201,0.00135687517824815,4156.14636062956,256.639941481015,2.24756865747444,223.17297590261,18.1341085330079,0.303468690069207,0.478445760026682,0.987659468023013,0.310806303677145,35.7753441190863,0.463190493656688,0.295707873128077,0.157951654989267,0.0831499782259686,7,0.290649978963622,0.522028910510861,2.90453303170997,0.58202420135715,2.91936360801965,0.584567825819485,0.000798934244570271,0.000796030367505504,0.00079717731045236,0.000798241684317479,11952.7467323682,700.51487082145,8.41528571747582,652.065880554889,52.6148342947934,0.647055240179303,1.22181130568742,2.44918630114848,0.914250075291434,78.6108363380984,0.0995936680122617,0.0223564617084438,0.0577821902363494,0.099804643854257,7,1.80042483518806,7.93292799545083,1.80017255837652,1.80410146546754,1.80501276455305,1.79537180444952,1.80183245386057,1.79719610048026,1.80185762809101,1.80457677403785,7.7437135179415,7.64735544581956,29.3608811327689,7.75468151767386,7.90006178806501,5.06635922321129,7.17202405448578,6.98986947989354,7.76788990301981,7.48007216487119,2.24154652899563,6.95806446999038,2.09225669988247,4.87410359181851,7,0.00668076387658898,2.15364178595488,0.00605849073039853,-0.0124813334486566,-0.00281313897174295,0.00964616048310137,-0.0173527916464114,0.0245301546285734,-0.000196934414227816,0.0106004028802862,2.59553805793029,2.56026672755435,4.83149303535524,2.59851985365119,2.61707512427125,1.90554724954726,2.4356154992678,2.39386205472852,2.60135415856665,2.26817970739592,-0.189146129900954,-1.78821300657508,0.390658102501931,1.56120388704612,7925,8088,7973,19234,2465,1529,758,18792,4387,725,75,6,1,0,0,0,0,0,0,0,0
"8",8,21269,0.6,0.6,0.7,-0.5,0.5,1.035,60,18.7373737373737,38.1818181818182,15.3030303030303,9,201.010101010101,21.3636363636364,154.545454545455,45.5454545454545,19848,2343,5,2056,873,2,7,3,4,9136,295,3,27,27,1,0,1,1,1560,17,96,34,9,0,1,4,1,8,0.51279642948748,0.965536696600686,4.97471304326352,0.996833728226836,5.01225523370429,0.998024820113306,0.00137635506430659,0.0013621830199691,0.00136839857779137,0.00137852797231648,3662.43688756482,109.005812034492,7.2843532413799,43.2417645826833,24.5981945554563,0.384691334806526,0.260331938502045,0.866895481686962,0.5412102120457,124.890148368826,0.0318606132807209,0.561169991972317,0.184546954097908,0.222422440649054,8,0.290432086835902,1.10565889283081,2.90773787399767,0.583291610809002,2.9043911702654,0.583622298284574,0.000803576724214596,0.000801931721633885,0.000797995172887441,0.000799520933230665,4802.20128407465,332.241973912837,22.3113801787478,282.960135322254,122.571730211156,0.527522353542995,1.03028118215327,1.27474899727329,0.704679849634304,131.781729566379,0.0378079777175141,0.22772321085197,0.0940568340137222,0.111676038115582,8,1.78307504127501,4.88070000409658,1.80658906283579,1.80212896513883,1.81760413527241,1.79486919917821,1.78629839394535,1.79309188797396,1.80135422742456,1.7999943618134,3.38777600824338,39.2425397770568,12.4860632609089,46.3046464454851,45.5553697341604,2.6422517523591,37.9200955684907,4.48659601727724,12.2717595970445,2.3344475730269,5.53608372623664,1.76921252347024,1.77983848108984,2.14112600374788,8,-0.0625948161368819,1.309646849989,-0.000150104706465897,0.00485179985499208,-0.00486673766602621,-0.0108020578537696,-0.00885450374095125,0.00303116575377353,0.00011524792279909,-0.00584002331912393,1.02237670690224,5.93608228751586,3.28617204373304,6.72462875555463,6.6498257627821,0.894489041820019,5.81981448442426,1.64751279011135,2.33682306706495,0.63866806736565,1.66214874046651,-0.168175395112993,0.148885897437547,0.282304512591193,7135,7000,7134,11797,398,6859,2215,9115,6767,3328,1384,476,146,45,7,1,0,0,0,0,0
"9",9,19124,0.6,0.4,0.4,-0.5,1.6,1.046,33,9.84848484848485,18.1818181818182,10.8585858585859,1.45454545454545,314.141414141414,5,111.363636363636,43.5656565656566,31869,2025,11,2490,127,2,9,1,4,9808,65,9,35,61,0,0,1,0,1213,37,14,33,32,0,1,1,1,9,0.509366378016089,0.62194101652374,5.00486986577763,1.00255747181077,5.0292033491155,0.999316528599106,0.00137033331541846,0.00137265588237329,0.00137223912269541,0.00137919090565554,7766.36210251437,437.087023761987,1.73567245346162,539.171493749459,33.969319845601,0.44185316879314,2.06478770131772,0.362267308094541,0.95884752143903,53.6921780025733,0.491610986242692,0.145611817174826,0.163246333543067,0.199530863039415,9,0.287557227493858,0.85632136542911,2.89847569073825,0.581843443659697,2.93394511006256,0.583652479704129,0.000801090156052226,0.000797814857383423,0.000795936393032401,0.000800255863945675,13055.3807183017,814.559499302869,4.12352302660368,1009.62399048851,51.272910938222,0.829763892393878,3.70322703872493,0.480668063041929,1.63995842329942,72.8257552711122,0.158247433644341,0.0473915278797877,0.03453689192878,0.135307405103559,9,1.81619654869163,5.37056487403832,1.82005611550007,1.8023201204117,1.78764427450923,1.79560182194443,1.78670181186979,1.81137742896836,1.81043644545127,1.7908493412978,2.64816911162488,2.81470021734855,5.2986571454781,2.81424300104902,2.36825241380037,2.80996661147585,2.78691062088945,1.32844770973257,2.69384892708121,3.29684448549705,2.06207273474677,2.7738850086169,2.40841129103735,3.31642868750405,9,-0.052549847815071,1.49939697281329,0.00437180377299108,-0.0214671041513196,-0.00785511076300305,0.00275452328707986,-0.00922971587235209,-0.0155220637164606,-0.00308433794735097,-0.013096393383625,1.24427650887789,1.34555711652852,2.02433984872426,1.34578024523443,1.07826169589711,1.34524447411805,1.327709064026,0.573058625729769,1.26754895201867,1.11677977056367,-0.118519277256816,0.696733426629281,0.0462699748293638,0.96173159554953,6281,6443,6400,12563,3992,1192,1377,10863,5542,1988,577,129,21,4,0,0,0,0,0,0,0
"10",10,22141,1,0.3,1,-0.1,0.5,1.041,68,23.5858585858586,45,19.7474747474747,6.18181818181818,475.757575757576,36.8181818181818,399.242424242424,33.6666666666667,38586,2470,21,2449,509,1,2,4,1,1939,105,1,23,54,0,1,0,0,2253,34,34,30,6,1,0,3,1,10,0.514608043244904,1.04877828463032,4.96720057263845,0.997641835454039,4.98875207063636,1.00329157616543,0.00136826626850403,0.00136054939583755,0.00138006405941737,0.00137052233509992,6867.9211846572,377.037360644063,5.92502596992006,372.844293164243,84.2614647445504,0.466103608689761,0.399891603811933,1.5568854161962,0.466193938846484,160.470255146196,0.248410246013399,0.137580496152365,0.498006942951386,0.116002314882851,10,0.289502743625814,1.16411489134186,2.90377767832191,0.583182178018653,2.91611326950547,0.580867328145029,0.000797709399934551,0.000803553990863333,0.000797470590239513,0.000798689655157601,13768.9349807432,860.726999216357,12.1313787235404,856.613090125776,181.710391158575,0.49886097716726,0.745518369699622,1.69676884623051,0.49886710694296,163.778824396659,0.0395894917123754,0.0605305999863606,0.0952804282689406,0.0460681749545497,10,1.80547220152353,4.71789448873672,1.81023741036274,1.80539731420603,1.8036605065809,1.81227159962986,1.79633210962047,1.7924087187452,1.80699266064181,1.80629628702824,4.47110511972598,4.54167832334555,4.00197881372629,4.53555416594946,4.47067058987676,1.01846832335569,3.44909042727961,1.21896495094678,1.01836957097134,2.54799780861839,2.06736906285012,2.02783752961377,2.2319272870627,3.20518219552502,10,-0.0724725619744734,1.27679124189858,0.023697705090426,0.0119301807340578,0.00399940859199998,3.22896277310255e-05,-0.00153953189486445,0.0148309719048356,-0.0224655473844205,0.00186273601715814,1.85397798638986,1.878173167843,1.67687172095013,1.8776352889022,1.85338472827508,0.135889002862233,1.48803922502588,0.249093781993368,0.135525208335615,0.637146216999078,0.0883274313228616,0.448917296812406,0.0454705600688554,0.732275093788069,7385,7418,7338,10444,3369,1791,6537,8900,7061,3671,1613,593,221,72,10,0,0,0,0,0,0
